Density, %GOP
34.92626,73.21248
34.9071,78.20596
11.685455,48.53663
14.111849,73.592606
34.035706,87.507385
6.718548,23.54936
10.3925,53.778576
74.71329,66.136505
21.861834,52.571114
16.729162,77.90021
24.08154,80.39998
5.806624,52.29994
7.9426727,54.1582
8.878438,73.06756
10.308445,84.4391
28.484688,74.9245
33.716496,60.330864
5.98481,49.16249
6.64258,58.052147
13.979561,79.383125
8.769764,67.86947
41.16514,85.1914
34.52494,71.2693
17.027378,30.091461
35.25078,77.771645
46.77301,74.57555
15.514986,62.84687
73.450836,69.4658
10.588652,76.993744
18.93094,70.46936
17.890066,81.814125
5.2679543,15.038585
9.261744,37.24146
11.76524,64.7902
67.514145,70.29017
18.217377,71.25846
226.16037,46.969982
9.266452,76.84611
49.794292,65.654015
18.459768,63.659237
88.2419,60.113243
52.94688,72.03182
6.001891,23.383549
13.6306715,12.752002
159.63686,59.469048
8.240512,46.37037
15.97394,81.172035
57.762245,80.43736
97.02249,54.6678
8.575198,53.919262
110.862465,37.800663
77.09538,72.4882
5.6219463,24.900661
8.556284,53.506847
18.943138,56.918556
15.159137,70.12142
31.75168,44.089287
93.359505,78.12846
49.49369,83.357765
5.818175,22.626696
41.672104,58.066174
20.935205,66.30558
55.72846,58.815277
32.146244,76.75632
6.2435803,65.9289
4.9392977,25.615162
14.90342,86.59858
,57.21182
2.4655054,32.487988
8.177928,62.24136
2.7850418,42.395588
4.307422,63.786682
3.0878189,69.12016
1.7447722,54.827587
1.7513622,66.43864
160.10155,56.095688
5.777812,71.60946
4.170322,54.245014
41.26608,46.983307
27.605944,58.726776
14.803182,30.865097
10.029916,65.6622
13.769974,56.48527
7.0380273,61.32997
8.980268,63.022926
27.31459,72.57688
97.80846,70.591736
23.675373,74.76015
6.7898483,59.41094
3.2516754,68.838524
16.636229,62.382797
6.592792,38.66636
10.039094,53.281807
9.67966,64.98086
16.95719,76.850296
5.605894,73.21485
12.332113,61.945007
14.487342,60.034603
52.36747,65.94505
39.631084,75.636345
30.859684,40.512955
11.070332,65.19016
4.6771536,55.448185
6.1145396,43.4375
8.551978,59.646698
66.300835,66.28121
11.289129,72.86029
7.6236496,67.0075
50.54419,65.273285
